"Dato";"Forklaring";"Rentedato";"Ut fra konto";"Inn på konto"
"13.09.2026";"Lønn fra Rema 1000  ";"16.09.2026";"";12480.6
"13.09.2026";"Overføring Innland  827 Noah Berge Lån Tpp: Vipps Mobilepay AS";"13.09.2026";"";1318.38
"13.09.2026";"Varekjøp Bunnpris Møhlenpris Bryggen Bergen Dato 13.09 kl. 15.34 ";"14.09.2026";648.83;""
"11.09.2026";"Visa  100288  Usd 56,59 Airport Shop Valutakurs: 9,4343 ";"14.09.2026";533.89;""
"09.09.2026";"Giro  885 Fremtind Forsikring Efaktura ";"10.09.2026";161.93;""
"07.09.2026";"Varekjøp Kiwi 118 Sandviken Danmarksplass Bergen Dato 07.09 kl. 10.12 ";"09.09.2026";128.42;""
"06.09.2026";"Overføring Innland  826 Vilde Kleven Lån Tpp: Vipps Mobilepay AS";"07.09.2026";"";56.24
"05.09.2026";"Varekjøp Baker Brun Dato 05.09 kl. 15.39 ";"07.09.2026";300.01;""
"05.09.2026";"Varekjøp Peppes Pizza Bergen Dato 05.09 kl. 10.46 ";"07.09.2026";307.99;""
"04.09.2026";"Giro  884 Telenor Norge AS Mobil Efaktura Tpp: Vipps Mobilepay AS";"04.09.2026";1026.96;""
"02.09.2026";"E-varekjøp Bunnpris Møhlenpris Nygårdsgaten Bergen Dato 02.09 kl. 17.46 ";"05.09.2026";485.66;""
"31.08.2026";"Varekjøp Meny Nesttun Torgallmenningen Bergen Dato 31.08 kl. 19.09 ";"31.08.2026";253.03;""
"30.08.2026";"Visa  100339  Usd 60,00 Airport Shop Valutakurs: 10,3557 ";"31.08.2026";621.34;""
"29.08.2026";"Overføring  97414069891 Nora Fossum Gave Tpp: Vipps ";"31.08.2026";"";1121.32
"28.08.2026";"Lønn fra Rema 1000  ";"29.08.2026";"";9750.35
"27.08.2026";"Overføring  34612562290 Emma Fjeldstad Lån Tpp: Vipps ";"29.08.2026";"";1453.45
"25.08.2026";"Overføring Innland  825 Ingrid Moen  Tpp: Vipps Mobilepay AS";"28.08.2026";"";82.31
"24.08.2026";"Varekjøp Burger King Bergen Dato 24.08 kl. 19.17 ";"26.08.2026";289.75;""
"24.08.2026";"Visa  100164  Nok 300,00 Steam Purchase ";"25.08.2026";300;""
"22.08.2026";"Visa  100729  Nok 300,00 Steam Purchase ";"23.08.2026";300;""
"21.08.2026";"E-varekjøp Bunnpris Møhlenpris Torgallmenningen Bergen Dato 21.08 kl. 14.59 ";"21.08.2026";68.21;""
"19.08.2026";"E-varekjøp Kiwi 118 Sandviken Torgallmenningen Bergen Dato 19.08 kl. 21.03 ";"19.08.2026";177.31;""
"17.08.2026";"Varekjøp Dickens Bergen Dato 17.08 kl. 12.22 ";"17.08.2026";71.37;""
"14.08.2026";"Overføring  17913661102 Silje Rønning Kino Tpp: Vipps ";"15.08.2026";384.81;""
"13.08.2026";"Lønn fra Rema 1000  ";"14.08.2026";"";13120.9
"10.08.2026";"Overføring Innland  824 Silje Rønning Mat Tpp: Vipps Mobilepay AS";"12.08.2026";"";1086.85
"07.08.2026";"Giro  883 Fremtind Forsikring Efaktura ";"08.08.2026";167.34;""
"07.08.2026";"Giro  882 Telenor Norge AS Mobil Efaktura Tpp: Vipps Mobilepay AS";"08.08.2026";1087.27;""
"07.08.2026";"Visa  100776  Nok 257,71 Paypal :splice ";"09.08.2026";257.71;""
"07.08.2026";"Varekjøp Burger King Bergen Dato 07.08 kl. 23.58 ";"08.08.2026";221.98;""
"07.08.2026";"Kontoregulering  699 Bensin  ";"09.08.2026";986;""
"05.08.2026";"Varekjøp Dickens Bergen Dato 05.08 kl. 11.20 ";"07.08.2026";335.61;""
"03.08.2026";"Overføring  43726558456 Noah Berge Gave Tpp: Vipps ";"04.08.2026";560.15;""
"02.08.2026";"Overføring Innland  823 Silje Rønning Bursdag Tpp: Vipps Mobilepay AS";"02.08.2026";804.6;""
"01.08.2026";"Kontoregulering  698 Regning  ";"02.08.2026";968;""
"29.07.2026";"Varekjøp Baker Brun Dato 29.07 kl. 16.27 ";"31.07.2026";103.19;""
"29.07.2026";"Kontoregulering  697 Mat  ";"30.07.2026";160;""
"27.07.2026";"Varekjøp Dickens Bergen Dato 27.07 kl. 18.15 ";"28.07.2026";250.66;""
"26.07.2026";"Lønn fra Rema 1000  ";"29.07.2026";"";8940.15
"26.07.2026";"Varekjøp Rema Fyllingsdalen Nygårdsgaten Bergen Dato 26.07 kl. 16.04 ";"28.07.2026";576.01;""
"23.07.2026";"Varekjøp Rema Fyllingsdalen Fjøsangerveien Bergen Dato 23.07 kl. 15.09 ";"24.07.2026";566.38;""
"21.07.2026";"E-varekjøp Kiwi 118 Sandviken Fjøsangerveien Bergen Dato 21.07 kl. 12.44 ";"24.07.2026";494.9;""
"20.07.2026";"Varekjøp Burger King Bergen Dato 20.07 kl. 22.14 ";"23.07.2026";430.94;""
"18.07.2026";"Varekjøp Bunnpris Møhlenpris Nygårdsgaten Bergen Dato 18.07 kl. 13.41 ";"20.07.2026";405.18;""
"17.07.2026";"Visa  100372  Usd 25,00 Claude.ai Subscript Valutakurs: 11,2627 ";"20.07.2026";281.57;""
"15.07.2026";"Overføring  51112604971 Amalie Strand Middag Tpp: Vipps ";"17.07.2026";1353.7;""
"13.07.2026";"Varekjøp Meny Nesttun Fjøsangerveien Bergen Dato 13.07 kl. 11.21 ";"15.07.2026";324.23;""
"10.07.2026";"Giro  881 Fremtind Forsikring Efaktura ";"11.07.2026";159.53;""
"07.07.2026";"Varekjøp Bunnpris Møhlenpris Fjøsangerveien Bergen Dato 07.07 kl. 09.46 ";"09.07.2026";298.79;""
"07.07.2026";"Varekjøp Baker Brun Dato 07.07 kl. 17.13 ";"07.07.2026";382.43;""
"06.07.2026";"Giro  880 Telenor Norge AS Mobil Efaktura Tpp: Vipps Mobilepay AS";"08.07.2026";950.44;""
"06.07.2026";"E-varekjøp Bunnpris Møhlenpris Danmarksplass Bergen Dato 06.07 kl. 09.08 ";"08.07.2026";507.56;""
"05.07.2026";"Lønn fra Rema 1000  ";"07.07.2026";"";11380.7
"03.07.2026";"Visa  100101  Nok 129,00 Apple.com/bill ";"05.07.2026";129;""
"03.07.2026";"Varekjøp Power Åsane Danmarksplass Bergen Dato 03.07 kl. 10.43 ";"04.07.2026";1260.93;""
"01.07.2026";"Kontoregulering  696 Regning  ";"04.07.2026";1056;""
"30.06.2026";"E-varekjøp Meny Nesttun Torgallmenningen Bergen Dato 30.06 kl. 17.14 ";"01.07.2026";513.97;""
"30.06.2026";"Varekjøp Ikea Åsane Fjøsangerveien Bergen Dato 30.06 kl. 20.03 ";"02.07.2026";257.72;""
"29.06.2026";"Visa  100307  Eur 39,55 Supermarket Abroad Valutakurs: 11,1830 ";"30.06.2026";442.29;""
"27.06.2026";"Kontoregulering  695 Mat  ";"29.06.2026";1599;""
"25.06.2026";"Kontoregulering  694 Mobil Overføring  ";"27.06.2026";102;""
"24.06.2026";"Varekjøp Power Åsane Fjøsangerveien Bergen Dato 24.06 kl. 12.11 ";"24.06.2026";1236.34;""
"23.06.2026";"Visa  100106  Nok 120,00 Revolut::1319: ";"23.06.2026";120;""
"22.06.2026";"Overføring Innland  822 Tobias Enger Skyss Tpp: Vipps Mobilepay AS";"25.06.2026";1140.4;""
"22.06.2026";"Kontoregulering  693 Til Sparekonto  ";"24.06.2026";141;""
"20.06.2026";"Kontoregulering  692 Sparing  ";"22.06.2026";504;""
"20.06.2026";"Visa  100979  Eur 38,70 Cafe Downtown Valutakurs: 10,9763 ";"20.06.2026";424.78;""
"18.06.2026";"Varekjøp Peppes Pizza Bergen Dato 18.06 kl. 14.45 ";"18.06.2026";89.53;""
"17.06.2026";"Kontoregulering  691 Mobil Overføring  ";"18.06.2026";605;""
"17.06.2026";"Varekjøp Burger King Bergen Dato 17.06 kl. 11.43 ";"20.06.2026";137.86;""
"16.06.2026";"Lønn fra Rema 1000  ";"18.06.2026";"";10250.45
"13.06.2026";"Varekjøp Baker Brun Dato 13.06 kl. 20.01 ";"15.06.2026";114.19;""
"12.06.2026";"Giro  879 Fremtind Forsikring Efaktura ";"14.06.2026";167.62;""
"10.06.2026";"Varekjøp Kiwi 118 Sandviken Danmarksplass Bergen Dato 10.06 kl. 10.17 ";"13.06.2026";103.57;""
"07.06.2026";"Visa  100208  Telenor Norge ";"08.06.2026";957.81;""
"06.06.2026";"E-varekjøp Meny Nesttun Torgallmenningen Bergen Dato 06.06 kl. 14.34 ";"08.06.2026";368.4;""
"06.06.2026";"Overføring  12449395337 Oliver Nystrøm Lån Tpp: Vipps ";"08.06.2026";1187.49;""
"04.06.2026";"Visa  100640  Nok 125,00 Google One ";"07.06.2026";125;""
"03.06.2026";"Visa  100285  Nok 300,00 Steam Purchase ";"05.06.2026";300;""
"01.06.2026";"Lønn fra Rema 1000  ";"02.06.2026";"";13780.2
"01.06.2026";"Visa  100491  Sek 28,32 Parking City Center Valutakurs: 1,0296 ";"04.06.2026";29.16;""
"01.06.2026";"Overføring  60747607907 Jonas Vik Mat Tpp: Vipps ";"02.06.2026";"";1477.24
"30.05.2026";"Visa  100791  Eur 31,44 Parking City Center Valutakurs: 11,2465 ";"31.05.2026";353.59;""
"29.05.2026";"E-varekjøp Bunnpris Møhlenpris Torgallmenningen Bergen Dato 29.05 kl. 08.38 ";"30.05.2026";158.45;""
"27.05.2026";"Varekjøp Meny Nesttun Bryggen Bergen Dato 27.05 kl. 15.42 ";"27.05.2026";291.05;""
"26.05.2026";"Kontoregulering  690 Mobil Overføring  ";"28.05.2026";930;""
"24.05.2026";"Varekjøp Peppes Pizza Bergen Dato 24.05 kl. 20.31 ";"26.05.2026";173.1;""
"23.05.2026";"Varekjøp Baker Brun Dato 23.05 kl. 11.36 ";"23.05.2026";365.4;""
"22.05.2026";"Varekjøp Rema Fyllingsdalen Torgallmenningen Bergen Dato 22.05 kl. 15.04 ";"25.05.2026";404.9;""
"20.05.2026";"Overføring  25335853375 Live Brekke Betaling Tpp: Vipps ";"21.05.2026";1007.3;""
"19.05.2026";"Varekjøp Jernia Bergen Danmarksplass Bergen Dato 19.05 kl. 12.55 ";"21.05.2026";1905.13;""
"19.05.2026";"Visa  100754  Nok 260,41 Paypal :splice ";"20.05.2026";260.41;""
"18.05.2026";"Lønn fra Rema 1000  ";"20.05.2026";"";9420.55
